Duration;ProcessName;ProcessID;CPUms/s;User%;Deadlines;(<2ms,2-5ms);Wakeups;(intr,pkg,idle);EnergyImpact;;;;;;;;
01:01:33;WebApp;617;27,26;84,81;0,00;0,00;6,53;0,20;17,47;;;;;;;;
01:01:38;WebApp;617;18,33;74,44;0,00;0,00;8,71;0,99;3,71;;;;;;;;
01:01:43;WebApp;617;50,34;92,40;0,00;0,00;6,75;0,40;56,79;;;;;;;;
01:01:48;WebApp;617;43,02;85,00;0,00;0,00;8,30;1,19;51,70;;;;;;;;
01:01:54;WebApp;617;23,14;86,39;0,00;0,20;7,33;0,59;11,67;;;;;;;;
01:01:59;WebApp;617;59,17;82,45;0,59;0,20;9,30;0,59;60,32;;;;;;;;
01:02:04;WebApp;617;5,63;79,06;0,00;0,00;7,16;0,60;0,58;;;;;;;;
01:02:09;WebApp;617;26,92;80,82;0,00;0,20;6,93;0,40;19,35;;;;;;;;
01:02:14;WebApp;617;40,13;84,14;0,00;0,00;7,33;0,99;32,02;;;;;;;;
01:02:19;WebApp;617;42,93;85,65;0,00;0,00;9,49;0,59;20,82;;;;;;;;
01:02:24;WebApp;617;36,21;78,33;0,00;0,00;7,34;0,79;38,62;;;;;;;;
01:02:29;WebApp;617;38,48;74,65;0,00;0,00;9,88;0,59;21,03;;;;;;;;
01:02:34;WebApp;617;15,54;79,02;0,00;0,00;6,12;0,40;8,62;;;;;;;;
01:02:39;WebApp;617;9,23;67,22;0,00;0,20;8,91;0,40;0,82;;;;;;;;
01:02:44;WebApp;617;32,40;86,30;0,00;0,00;7,13;0,59;14,30;;;;;;;;
01:02:49;WebApp;617;49,41;87,82;0,00;0,00;7,12;0,59;51,66;;;;;;;;
01:02:54;WebApp;617;27,70;80,34;0,20;0,00;9,29;1,38;14,08;;;;;;;;
01:02:59;WebApp;617;48,32;71,03;0,00;0,00;7,71;0,40;13,41;;;;;;;;
01:03:04;WebApp;617;27,19;75,24;0,00;0,00;7,92;1,19;10,16;;;;;;;;
01:03:09;WebApp;617;21,87;65,03;0,00;0,20;8,14;1,98;6,36;;;;;;;;
01:03:14;WebApp;617;25,35;68,55;0,00;0,00;7,51;0,20;6,04;;;;;;;;
01:03:19;WebApp;617;32,16;63,82;0,00;0,00;8,49;0,40;9,40;;;;;;;;
01:03:24;WebApp;617;21,61;67,19;0,20;0,20;7,31;0,79;6,97;;;;;;;;
01:03:30;WebApp;617;26,32;66,93;0,00;0,00;8,10;0,40;5,88;;;;;;;;
01:03:35;WebApp;617;25,24;73,73;0,00;0,20;7,50;0,99;7,94;;;;;;;;
